_id,image,title,slug,filename,department,content,category,views,up_vote,down_vote,created_at,updated_at,username
6400c1e4cbcde1f35185f929,,Ideas 5,,,,content for ideas 5,Something,0,0,0,2023-03-11 14:02:32 +0000 UTC,2023-03-11 14:02:32 +0000 UTC,
6400c202cbcde1f35185f92a,,Ideas 6,,,,content for ideas 6,Something,0,0,0,2023-03-11 14:02:41 +0000 UTC,2023-03-11 14:02:41 +0000 UTC,
6400c233cbcde1f35185f92b,,Ideas 7,,,,content for ideas 7,Something,0,0,0,2023-03-11 14:02:48 +0000 UTC,2023-03-11 14:02:48 +0000 UTC,
6400c240cbcde1f35185f92c,,Ideas 8,,,,content for ideas 8,Something,0,0,0,2023-03-11 14:02:53 +0000 UTC,2023-03-11 14:02:53 +0000 UTC,
6400c26fcbcde1f35185f92d,Image 9,Ideas 9,slug,Document for ideas 9,Department 1,content for ideas 9,category 1,0,0,0,2023-03-02 15:36:15 +0000 UTC,2023-03-02 15:36:15 +0000 UTC,
6400c2b3cbcde1f35185f92e,Image 10,Ideas 10,slug,Document for ideas 10,Department 1,content for ideas 10,category 1,0,0,0,2023-03-02 15:37:23 +0000 UTC,2023-03-02 15:37:23 +0000 UTC,
6400d461bf51cbde96a4be10,,Title Testing,,,,Thoughts,,0,0,0,2023-03-02 16:52:49 +0000 UTC,2023-03-02 16:52:49 +0000 UTC,
640132c5446124d0be81128f,,Ideas title only test,,,Department 2,content for only test,,0,0,0,2023-03-02 23:35:33 +0000 UTC,2023-03-02 23:35:33 +0000 UTC,
640132dc446124d0be811290,,Ideas Only test,slug,Document for Only test,Department 2,content for Only test,category 2,0,0,0,2023-03-02 23:35:56 +0000 UTC,2023-03-02 23:35:56 +0000 UTC,
64013474446124d0be811293,Image ,Ideas ,slug,Document for ideas ,Department 1,content for ideas ,category ,0,0,0,2023-03-02 23:42:44 +0000 UTC,2023-03-02 23:42:44 +0000 UTC,
64013494446124d0be811294,,Ideas test,,Document for ideas test,Department 1,content for ideas test,,0,0,0,2023-03-02 23:43:16 +0000 UTC,2023-03-02 23:43:16 +0000 UTC,
640134ab446124d0be811295,,Ideas test only title,,,Department 1,,,0,0,0,2023-03-02 23:43:39 +0000 UTC,2023-03-02 23:43:39 +0000 UTC,
64013510446124d0be811297,Image test 1,Ideas test 1,slug,Document for ideas test 1,Department 1,content for ideas test 1,category ,0,0,0,2023-03-02 23:45:20 +0000 UTC,2023-03-02 23:45:20 +0000 UTC,
64013936a3ee3187e0ad8d9e,Image test 2,Ideas test 2,slug,Document for ideas test 2,Department 2,content for ideas test 2,category ,0,0,0,2023-03-03 00:03:02 +0000 UTC,2023-03-03 00:03:02 +0000 UTC,
64013965a3ee3187e0ad8da1,Image test 3,Ideas test 3,slug,Document for ideas test 3,Department 1,content for ideas test 3,category 2,0,0,0,2023-03-03 00:03:49 +0000 UTC,2023-03-03 00:03:49 +0000 UTC,
64013a0aa3ee3187e0ad8da3,,Ideas test 4,,,Department 1,,,0,0,0,2023-03-03 00:06:34 +0000 UTC,2023-03-03 00:06:34 +0000 UTC,
6402c24f23112b3e1702dfc4,,something,,,aaa-bb-cc,thoughs,,0,0,0,2023-03-04 04:00:15 +0000 UTC,2023-03-04 04:00:15 +0000 UTC,
6402c27723112b3e1702dfc5,,adminpost,,,aaa-bb-cc,123,,0,0,0,2023-03-04 04:00:55 +0000 UTC,2023-03-04 04:00:55 +0000 UTC,
6402c2be23112b3e1702dfc6,,admin,,,aaa-bb-cc,123,,0,0,0,2023-03-04 04:02:06 +0000 UTC,2023-03-04 04:02:06 +0000 UTC,
6402c68f23112b3e1702dfc7,,test,,,aaa-bb-cc,123,,0,0,0,2023-03-04 04:18:23 +0000 UTC,2023-03-04 04:18:23 +0000 UTC,
6402dfd2bbf2367dd2d9f0be,,Title Testingasdasd,,,aaa-bb-cc,Thoughsasdasd,,0,0,0,2023-03-04 06:06:10 +0000 UTC,2023-03-04 06:06:10 +0000 UTC,
6402e38587899bbb17a4ab8f,,Ideas test 3323,,,Department 1,,,0,0,0,2023-03-04 06:21:57 +0000 UTC,2023-03-04 06:21:57 +0000 UTC,
6402e4067758a4aaa2992423,,Ideas test 33233214,,,Department 1,content dsalfkdsfsd,,0,0,0,2023-03-04 06:24:06 +0000 UTC,2023-03-04 06:24:06 +0000 UTC,
